article_pair,count
제12조+제33조,8
제12조+제38조,8
제12조+제59조,8
제22조+제33조,8
제22조+제38조,8
제22조+제59조,8
제28조+제31조,8
제28조+제33조,8
제28조+제38조,8
제28조+제59조,8
제31조+제4조,8
제33조+제48조의2,8
제33조+제4조,8
제38조+제3조,8
제38조+제48조의2,8
제38조+제4조,8
제3조+제59조,8
제48조의2+제59조,8
제4조+제59조,8
제33조+제63조,8
제30조+제32조,7
제32조+제63조,7
제32조+제75조,7
제32조+제8조,7
제18조+제42조,7
제31조+제3조,7
제40조+제5조,7
제14조의2+제66조,7
제17조+제64조의2,7
제19조+제75조,7
제13조+제2조,7
제13조+제75조,7
제28조+제39조,7
제25조+제34조,7
제28조+제40조,7
제15조+제19조,7
제19조+제3조,7
제29조+제32조의2,7
제37조+제75조,7
제18조+제74조,7
제13조+제18조,7
제16조+제25조,7
제14조의2+제27조의3,7
제14조의2+제6조,7
제14조의2+제74조,7
제14조의2+제76조,7
제14조의2+제7조,7
제14조의2+제8조,7
제74조+제75조,7
제15조+제69조의2,7
제28조+제69조의2,7
제3조+제64조의3,7
제5조+제69조의2,7
제64조의3+제66조,7
제64조의3+제69조의2,7
제64조의3+제7조,7
제66조+제69조의2,7
제69조의2+제6조,7
제69조의2+제74조,7
제69조의2+제76조,7
제69조의2+제8조,7
제26조+제39조의3,7
제2조+제7조의8,7
제5조+제7조의8,7
제25조+제76조,7
제14조+제25조,7
제14조+제64조,7
제2조+제41조,7
제41조+제63조,7
제41조+제75조,7
제15조+제39조의6,7
제15조+제48조의5,7
제17조+제39조의6,7
제17조+제48조의5,7
제39조의15+제61조,7
제24조의2+제34조의2,7
제21조+제34조의2,7
제59조+제75조,7
제18조+제39조의15,7
제18조+제48조의11,7
제25조+제39조,7
제2조+제32조,6
제32조+제61조,6
제32조+제7조,6
제2조+제42조,6
제42조+제75조,6
제20조+제6조,6
제31조+제34조,6
제31조+제5조,6
제14조의2+제2조,6
제14조의2+제64조,6
제17조+제19조,6
제13조+제6조,6
제21조+제39조,6
제24조+제28조,6
제17조+제9조,6
제24조의2+제76조,6
제32조의2+제39조의4,6
제32조의2+제48조의4,6
제32조의2+제6조,6
제16조+제63조,6
제16조+제6조,6
제11조+제15조,6
제11조+제17조,6
제28조의8+제61조,6
제37조+제63조,6
제37조+제6조,6
제10조+제18조,6
제16조+제3조,6
제18조+제38조,6
제23조+제25조,6
제25조+제74조,6
제19조+제23조,6
제27조의3+제64조,6
제2조+제69조의2,6
제69조의2+제7조,6
제13조+제5조,6
제13조+제63조,6
제13조+제7조,6
제19조+제8조,6
제28조+제39조의3,6
제18조+제41조,6
제35조+제41조,6
제21조+제48조의5,6
제31조+제39조의3,6
제39조의4+제48조의5,6
제21조+제40조의2,6
제10조+제23조,6
제14조+제16조,6
제16조+제28조,6
제33조+제3조,6
제59조+제63조,6
제39조의3+제59조,6
제15조+제39조,6
제33조+제34조,6
제29조+제58조,6
제2조+제58조,6
제30조+제58조,6
제35조+제6조,6
제23조+제60조의2,6
제32조+제5조,5
제32조+제6조,5
제15조+제60조의2,5
제42조+제5조,5
제42조+제63조,5
제31조+제39조,5
제31조+제40조,5
제39조+제3조,5
제14조의2+제75조,5
제16조+제61조,5
제19조+제24조,5
제19조+제61조,5
제28조+제67조,5
제29조+제67조,5
제64조+제67조,5
제47조+제63조,5
제47조+제6조,5
제47조+제75조,5
제47조+제7조,5
제28조의4+제2조,5
제28조의4+제61조,5
제28조의4+제63조,5
제28조의4+제75조,5
제28조의4+제7조,5
제28조의4+제8조,5
제30조+제39조의4,5
제30조+제48조의4,5
제32조의2+제48조의2,5
제32조의2+제4조,5
제11조+제28조의8,5
제28조의8+제30조,5
제28조의8+제6조,5
제28조의8+제7조,5
제28조의8+제8조,5
제23조+제32조,5
제20조+제37조,5
제20조+제63조,5
제20조+제75조,5
제20조+제7조,5
제18조+제60조의2,5
제18조+제40조,5
제21조+제23조,5
제10조+제15조,5
제16조+제29조,5
제16조+제4조,5
제27조+제34조,5
제18조+제19조,5
제25조+제40조,5
제14조의2+제3조,5
제27조의3+제3조,5
제27조의3+제75조,5
제14조의2+제15조,5
제14조의2+제28조,5
제14조의2+제4조,5
제19조+제63조,5
제18조+제7조의8,5
제3조+제7조의8,5
제63조+제7조의8,5
제75조+제7조의8,5
제25조+제67조,5
제12조+제23조,5
제12조+제64조의3,5
제22조+제64조의3,5
제23조+제26조의2,5
제23조+제64조의3,5
제25조+제39조의3,5
제26조의2+제64조의3,5
제27조+제39조의3,5
제61조+제74조,5
제23조+제39조의15,5
제23조+제39조의6,5
제23조+제48조의11,5
제23조+제48조의5,5
제24조의2+제39조의6,5
제24조의2+제48조의5,5
제30조+제39조의15,5
제30조+제48조의11,5
제48조의11+제61조,5
제48조의4+제48조의5,5
제15조+제40조,5
제24조의2+제39조의4,5
제19조+제22조,5
제19조+제4조,5
제12조+제21조,5
제39조의6+제3조,5
제29조+제32조,4
제32조+제4조,4
제32조+제66조,4
제35조+제8조,4
제3조+제40조,4
제17조+제65조,4
제19조+제24조의2,4
제19조+제65조,4
제19조+제66조,4
제13조+제21조,4
제13조+제29조,4
제13조+제34조,4
제13조+제3조,4
제15조+제65조,4
제67조+제6조,4
제25조+제64조의2,4
제28조의2+제8조,4
제18조+제65조,4
제30조의2+제5조,4
제30조의2+제61조,4
제30조의2+제8조,4
제19조+제29조,4
제28조의2+제61조,4
제39조의12+제63조,4
제2조+제68조,4
제15조+제28조의8,4
제17조+제28조의8,4
제22조의2+제61조,4
제22조의2+제6조,4
제28조의8+제2조,4
제17조+제32조,4
제24조의2+제32조,4
제20조+제2조,4
제37조+제7조,4
제21조+제32조,4
제23조+제31조,4
제12조+제18조,4
제18조+제68조,4
제16조+제18조,4
제18조+제20조,4
제18조+제36조,4
제23조+제38조,4
제18조+제37조,4
제18조+제31조,4
제3조+제69조의2,4
제24조의2+제27조,4
제15조+제26조의2,4
제17조+제26조의2,4
제26조의2+제39조의3,4
제26조의2+제64조,4
제26조의2+제66조,4
제15조+제67조,4
제18조+제67조,4
제5조+제67조,4
제67조+제74조,4
제67조+제76조,4
제24조의2+제39조의3,4
제63조+제74조,4
제21조+제42조,4
제32조+제48조의2,4
제30조+제39조의6,4
제30조+제48조의5,4
제31조+제39조의6,4
제31조+제48조의5,4
제39조의3+제39조의6,4
제39조의3+제48조의5,4
제39조의6+제61조,4
제48조의5+제61조,4
제28조+제9조,4
제74조+제9조,4
제34조+제40조의2,4
제24조의2+제48조의4,4
제10조+제10조의2,4
제10조+제12조,4
제10조+제19조,4
제10조+제22조,4
제10조+제26조의2,4
제10조+제64조의3,4
제10조의2+제12조,4
제10조의2+제19조,4
제10조의2+제22조,4
제10조의2+제23조,4
제10조의2+제26조의2,4
제10조의2+제2조,4
제10조의2+제3조,4
제10조의2+제4조,4
제10조의2+제5조,4
제10조의2+제64조의3,4
제10조의2+제8조,4
제12조+제19조,4
제19조+제26조의2,4
제19조+제64조의3,4
제26조의2+제3조,4
제16조+제74조,4
제16조+제76조,4
제17조+제34조,4
제26조+제34조의2,4
제18조+제33조,4
제18조+제59조,4
제25조+제39조의6,4
제25조+제48조의5,4
제33조+제39조의3,4
제33조+제5조,4
제38조+제39조의3,4
제38조+제5조,4
제27조+제39조,4
제27조+제40조,4
제33조+제39조,4
제33조+제40조,4
제34조+제38조,4
제34조+제59조,4
제38조+제39조,4
제38조+제40조,4
제39조+제59조,4
제40조+제59조,4
제58조+제6조,4
제27조+제39조의15,4
제27조+제39조의4,4
제27조+제48조의11,4
제27조+제48조의4,4
제25조+제35조,4
제15조+제58조,4
제23조+제58조,4
제28조의4+제29조의5,4
제29조의5+제2조,4
제29조의5+제61조,4
제29조의5+제63조,4
제29조의5+제75조,4
제29조의5+제7조,4
제29조의5+제8조,4
제34조+제48조의2,4
제10조+제17조,4
제17조+제60조의2,4
제2조+제71조,4
제10조+제28조의8,4
제28조의8+제60조의2,4
제28조의8+제64조의2,4
제28조의8+제9조,4
제34조의2+제66조,4
제23조+제9조,3
제35조+제3조,3
제35조+제42조,3
제14조의2+제16조,3
제16조+제24조의2,3
제19조+제64조,3
제13조+제24조,3
제13조+제30조,3
제13조+제66조,3
제24조+제39조,3
제35조+제64조,3
제35조+제66조,3
제25조+제65조,3
제21조+제40조,3
제24조의2+제39조,3
제29조+제47조,3
제47조+제66조,3
제47조+제8조,3
제47조+제9조,3
제21조의2+제24조의2,3
제21조의2+제2조,3
제21조의2+제30조,3
제21조의2+제63조,3
제21조의2+제6조,3
제21조의2+제75조,3
제21조의2+제7조,3
제28조의2+제28조의4,3
제28조의2+제2조,3
제28조의2+제34조,3
제28조의2+제63조,3
제28조의2+제64조,3
