decision_id,decision_date,year,document_category,topic_cluster,topic_label,topic_subtitle,sanction_strength,monetary_amount,factor_고유식별정보_포함_여부,factor_고의_또는_중과실,factor_공표_또는_시정명령_여부,factor_국외이전_고지_동의_여부,factor_금전_제재_여부,factor_내부통제_및_안전조치_수준,factor_동의_적법성,factor_민감정보_포함_여부,factor_반복성,factor_사후_시정_노력,factor_수집_이용_목적_명확성,factor_위반_기간,factor_정보주체_규모,factor_제3자_제공_또는_위탁_구조,factor_피해_발생_또는_위험_발생,outcome_high_sanction,outcome_has_fine,outcome_has_publication,outcome_has_correction,outcome_has_recommendation,outcome_data_request_allowed,outcome_data_request_denied
10027,2025-08-13,2025,privacy_impact_review,18.0,자동차 관련 법령 개인정보 평가,자동차·도로 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10029,2025-08-13,2025,privacy_impact_review,4.0,환경 분야 법령 개인정보 침해평가,대기·수질·소음 등 환경 법령 개정안의 개인정보 침해요인 평가,1,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1003,2020-10-14,2020,data_provision_request,-1.0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10031,2025-08-13,2025,privacy_impact_review,32.0,에너지·전력 법령 개인정보 침해평가,전력·가스·신재생 등 에너지 분야 법령안 개인정보 침해요인 평가,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10033,2025-08-13,2025,privacy_impact_review,19.0,항공·드론 법령 개인정보 평가,항공안전·보안·공항·드론 분야 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10035,2025-08-13,2025,privacy_impact_review,32.0,에너지·전력 법령 개인정보 침해평가,전력·가스·신재생 등 에너지 분야 법령안 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10037,2025-08-13,2025,privacy_impact_review,32.0,에너지·전력 법령 개인정보 침해평가,전력·가스·신재생 등 에너지 분야 법령안 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10039,2025-08-13,2025,privacy_impact_review,21.0,해양·수상안전 법령 개인정보 평가,해양경찰·수상레저·수난구조 법령안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10041,2025-08-13,2025,privacy_impact_review,8.0,공무원 인사·복무 법령 침해평가,공무원 인사·윤리·징계·연금 관련 법령안 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10043,2025-08-13,2025,privacy_impact_review,9.0,국방·병역 법령 개인정보 평가,군사·병역 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10045,2025-08-13,2025,privacy_impact_review,9.0,국방·병역 법령 개인정보 평가,군사·병역 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10047,2025-08-13,2025,privacy_impact_review,6.0,금융 법령 개인정보 침해평가,금융·신용 분야 법령 개정안의 개인정보 침해요인 평가 결정,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10049,2025-06-11,2025,enforcement,-1.0,,,4,4500000.0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
1005,2014-05-12,2014,complaint_or_interpretation,-1.0,,,1,,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0
10051,2025-08-13,2025,privacy_impact_review,6.0,금융 법령 개인정보 침해평가,금융·신용 분야 법령 개정안의 개인정보 침해요인 평가 결정,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10053,2025-06-11,2025,enforcement,-1.0,,,4,1200000.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
10055,2025-08-27,2025,privacy_impact_review,23.0,부동산·주택 법령 개인정보 평가,부동산 및 주택 관련 법령 개정안의 개인정보 침해요인 평가,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10057,2025-08-27,2025,privacy_impact_review,24.0,국토교통 법령 개인정보 침해평가,건설·교통·공간정보 분야 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10059,2025-08-27,2025,privacy_impact_review,23.0,부동산·주택 법령 개인정보 평가,부동산 및 주택 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10061,2025-08-27,2025,privacy_impact_review,25.0,농식품 분야 법령 개인정보 침해평가,농업·식품·바이오 관련 시행령·규칙 제정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10063,2025-08-27,2025,privacy_impact_review,25.0,농식품 분야 법령 개인정보 침해평가,농업·식품·바이오 관련 시행령·규칙 제정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10065,2025-08-27,2025,privacy_impact_review,35.0,장애인·영유아 법령 침해평가,사회적 약자 보호 법령 개정안 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10067,2025-08-27,2025,privacy_impact_review,35.0,장애인·영유아 법령 침해평가,사회적 약자 보호 법령 개정안 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10069,2024-11-04,2024,enforcement,2.0,동의·고지 의무 위반 사례,개인정보 수집·이용 시 동의 및 고지 의무 위반 결정,4,21613000000.0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
1007,2014-06-23,2014,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,0,,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
10071,2025-02-12,2025,enforcement,3.0,개인정보 법규 위반 시정조치,유출·동의·안전조치 등 복합 위반 시정,4,1477000000.0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0
10073,2025-09-10,2025,privacy_impact_review,7.0,지방세·지방재정 법령 개인정보 평가,지방세 및 지방행정 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10075,2025-09-10,2025,privacy_impact_review,23.0,부동산·주택 법령 개인정보 평가,부동산 및 주택 관련 법령 개정안의 개인정보 침해요인 평가,1,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10077,2025-09-10,2025,privacy_impact_review,23.0,부동산·주택 법령 개인정보 평가,부동산 및 주택 관련 법령 개정안의 개인정보 침해요인 평가,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10079,2025-09-10,2025,privacy_impact_review,4.0,환경 분야 법령 개인정보 침해평가,대기·수질·소음 등 환경 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10081,2025-06-11,2025,enforcement,7.0,개인정보 종합 위반 시정조치,유출·동의·안전조치 등 복합 위반에 대한 시정명령,4,623000000.0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
10083,2025-06-11,2025,enforcement,7.0,개인정보 종합 위반 시정조치,유출·동의·안전조치 등 복합 위반에 대한 시정명령,4,343000000.0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0
10087,2025-03-26,2025,enforcement,5.0,개인정보 법규위반 시정조치,유출·동의위반·안전조치 미흡 등 복합 위반에 대한 시정 결정,4,600000.0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0
10089,2025-03-26,2025,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,1,,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0
1009,2014-08-25,2014,other,8.0,공공기관 목적 외 이용·제공,공공기관의 개인정보 목적 외 이용 및 제3자 제공 심의,0,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
10093,2025-06-11,2025,enforcement,7.0,개인정보 종합 위반 시정조치,유출·동의·안전조치 등 복합 위반에 대한 시정명령,4,80000000.0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
10095,2025-09-03,2025,other,9.0,민감정보·고유식별정보 처리,민감정보 및 고유식별정보의 수집·처리 관련 결정,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10097,2025-09-10,2025,other,9.0,민감정보·고유식별정보 처리,민감정보 및 고유식별정보의 수집·처리 관련 결정,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10099,2025-06-11,2025,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,2,,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
101,2022-04-13,2022,privacy_impact_review,9.0,국방·병역 법령 개인정보 평가,군사·병역 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10101,2025-07-09,2025,enforcement,7.0,개인정보 종합 위반 시정조치,유출·동의·안전조치 등 복합 위반에 대한 시정명령,4,1391000000.0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
10103,2025-06-11,2025,enforcement,7.0,개인정보 종합 위반 시정조치,유출·동의·안전조치 등 복합 위반에 대한 시정명령,4,32423000.0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0
10105,2025-07-09,2025,enforcement,7.0,개인정보 종합 위반 시정조치,유출·동의·안전조치 등 복합 위반에 대한 시정명령,4,23000000.0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
10107,2025-09-10,2025,enforcement,6.0,개인정보 법규위반 시정조치,유출·동의위반·안전조치 미흡 등 복합위반 시정,4,13500000.0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0
10109,2025-03-26,2025,enforcement,2.0,동의·고지 의무 위반 사례,개인정보 수집·이용 시 동의 및 고지 의무 위반 결정,4,13451000000.0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
1011,2017-06-26,2017,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,0,,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10111,2025-09-24,2025,privacy_impact_review,16.0,도로교통 법령 개인정보 침해평가,도로교통 관련 법령 제·개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10113,2025-09-24,2025,privacy_impact_review,26.0,농림축산식품 법령 개인정보 평가,농업·농촌·식품 관련 법령 개정안의 개인정보 침해요인 평가,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10115,2025-09-24,2025,privacy_impact_review,44.0,경찰·안보 법령 개인정보 평가,경찰·방첩·사이버안보 관련 법령안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10117,2025-09-24,2025,privacy_impact_review,24.0,국토교통 법령 개인정보 침해평가,건설·교통·공간정보 분야 법령 개정안의 개인정보 침해요인 평가,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10119,2025-09-24,2025,other,8.0,공공기관 목적 외 이용·제공,공공기관의 개인정보 목적 외 이용 및 제3자 제공 심의,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10121,2025-09-24,2025,privacy_impact_review,11.0,보훈법령 개인정보 침해요인 평가,제대군인·고엽제·전사자유해 관련 법령 개정안 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10123,2025-09-24,2025,data_provision_request,2.0,공공기관 간 목적외 제공 요청,행정·복지·안전 업무 위한 보유 개인정보 제공 심의,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10125,2025-10-22,2025,privacy_impact_review,47.0,행정·전자정부 법령 침해평가,행정 및 전자정부 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10127,2025-10-22,2025,privacy_impact_review,47.0,행정·전자정부 법령 침해평가,행정 및 전자정부 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10129,2025-10-22,2025,privacy_impact_review,31.0,소방·재난안전 법령 침해평가,소방·재난안전 분야 법령 제·개정안 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1013,2017-04-10,2017,other,1.0,공공부문 개인정보 수집·처리 개선권고,법령·서식상 과다수집 및 민감정보 처리 개선 권고 사례,1,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10131,2025-08-27,2025,enforcement,3.0,개인정보 법규 위반 시정조치,유출·동의·안전조치 등 복합 위반 시정,4,134791000000.0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
10133,2025-09-10,2025,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,1,,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
10135,2025-09-10,2025,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,1,,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0
10137,2025-09-10,2025,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,1,,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0
10139,2025-09-10,2025,enforcement,2.0,동의·고지 의무 위반 사례,개인정보 수집·이용 시 동의 및 고지 의무 위반 결정,4,81017000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
10141,2025-07-23,2025,public_system_inspection,0.0,사전실태점검 및 보호시행계획,주요 분야 사전점검과 연간 개인정보보호 시행계획 의결,1,,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0
10143,2025-07-23,2025,public_system_inspection,0.0,사전실태점검 및 보호시행계획,주요 분야 사전점검과 연간 개인정보보호 시행계획 의결,1,,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0
10145,2025-07-23,2025,public_system_inspection,0.0,사전실태점검 및 보호시행계획,주요 분야 사전점검과 연간 개인정보보호 시행계획 의결,1,,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0
10147,2025-07-23,2025,public_system_inspection,0.0,사전실태점검 및 보호시행계획,주요 분야 사전점검과 연간 개인정보보호 시행계획 의결,1,,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0
10149,2025-07-23,2025,public_system_inspection,0.0,사전실태점검 및 보호시행계획,주요 분야 사전점검과 연간 개인정보보호 시행계획 의결,1,,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0
1015,2017-06-12,2017,other,8.0,공공기관 목적 외 이용·제공,공공기관의 개인정보 목적 외 이용 및 제3자 제공 심의,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
10151,2025-11-20,2025,privacy_impact_review,-1.0,,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10153,2025-11-20,2025,privacy_impact_review,7.0,지방세·지방재정 법령 개인정보 평가,지방세 및 지방행정 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10155,2025-11-20,2025,privacy_impact_review,7.0,지방세·지방재정 법령 개인정보 평가,지방세 및 지방행정 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10157,2025-11-20,2025,privacy_impact_review,7.0,지방세·지방재정 법령 개인정보 평가,지방세 및 지방행정 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10159,2025-11-20,2025,privacy_impact_review,7.0,지방세·지방재정 법령 개인정보 평가,지방세 및 지방행정 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10161,2025-11-20,2025,privacy_impact_review,0.0,문화·관광·체육 법령 개인정보 평가,문화·예술·관광·스포츠 분야 법령안의 개인정보 침해요인 평가 결정,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10163,2025-11-20,2025,privacy_impact_review,7.0,지방세·지방재정 법령 개인정보 평가,지방세 및 지방행정 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10165,2025-10-22,2025,enforcement,5.0,개인정보 법규위반 시정조치,유출·동의위반·안전조치 미흡 등 복합 위반에 대한 시정 결정,4,2400000.0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0
10167,2025-09-24,2025,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,1,,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0
10169,2025-11-20,2025,privacy_impact_review,31.0,소방·재난안전 법령 침해평가,소방·재난안전 분야 법령 제·개정안 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1017,2012-06-11,2012,other,-1.0,,,0,,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
10171,2025-11-20,2025,privacy_impact_review,31.0,소방·재난안전 법령 침해평가,소방·재난안전 분야 법령 제·개정안 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10173,2025-11-20,2025,enforcement,1.0,법규위반 시정조치 결정,유출·동의위반·목적외 이용·처리위탁 관련 시정조치,4,600000.0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0
10175,2025-11-20,2025,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,2,,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0
10177,2025-11-20,2025,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,2,,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0
10179,2025-11-20,2025,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,2,,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
10181,2025-09-10,2025,public_system_inspection,2.0,공공기관 사전 실태점검 개선권고,안전조치 미흡 등 유출·침해 예방을 위한 개선권고,1,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
10183,2025-10-22,2025,data_provision_request,2.0,공공기관 간 목적외 제공 요청,행정·복지·안전 업무 위한 보유 개인정보 제공 심의,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10185,2025-11-20,2025,data_provision_request,2.0,공공기관 간 목적외 제공 요청,행정·복지·안전 업무 위한 보유 개인정보 제공 심의,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10187,2025-11-20,2025,other,-1.0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10189,2025-11-26,2025,enforcement,8.0,개인정보 유출·동의위반 시정조치,유출·침해와 동의·고지 위반 등 복합 위반행위 시정 결정,4,3600000.0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
1019,2017-07-10,2017,other,8.0,공공기관 목적 외 이용·제공,공공기관의 개인정보 목적 외 이용 및 제3자 제공 심의,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
10191,2025-11-26,2025,enforcement,7.0,개인정보 종합 위반 시정조치,유출·동의·안전조치 등 복합 위반에 대한 시정명령,4,9600000.0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
10193,2025-10-22,2025,other,4.0,영상정보 처리 위반,CCTV 등 영상정보 처리 및 유출 관련 위반 사례,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10195,2025-11-26,2025,other,-1.0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10197,2025-12-10,2025,privacy_impact_review,20.0,농축산·동물 법령 개인정보 평가,가축·동물·식물방역 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10199,2025-12-10,2025,privacy_impact_review,15.0,조세·세무 법령 개인정보 침해평가,국세·관세 등 조세 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10201,2025-12-10,2025,privacy_impact_review,48.0,행정안전부 소관 법령 침해평가,주민등록법·인감증명법 등 행안부 법령 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10203,2025-12-10,2025,privacy_impact_review,6.0,금융 법령 개인정보 침해평가,금융·신용 분야 법령 개정안의 개인정보 침해요인 평가 결정,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10205,2025-12-10,2025,privacy_impact_review,48.0,행정안전부 소관 법령 침해평가,주민등록법·인감증명법 등 행안부 법령 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10207,2025-12-10,2025,privacy_impact_review,44.0,경찰·안보 법령 개인정보 평가,경찰·방첩·사이버안보 관련 법령안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10209,2025-12-10,2025,privacy_impact_review,44.0,경찰·안보 법령 개인정보 평가,경찰·방첩·사이버안보 관련 법령안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
