decision_id,cluster_id,document_category,decision_date,title,applicant,sanction_strength,sanction_types,monetary_amount,case_type,violated_articles
10019,2,enforcement,2025-07-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,이화의대부속서울병원 (사업자등록번호 : )대표자,4,과태료,1200000.0,유출·침해;동의·고지 위반;민감정보·고유식별정보;정보주체 권리보장,제18조;제23조;제29조;제2조;제30조;제3조;제5조;제63조;제66조;제6조;제75조;제7조;제9조
10021,15,other,2025-07-23,,"에 대하여 다음과 같이 시정조치를 명한다.가. 향후 이벤트 진행 등 업무 수행 시 법적 근거 없이 한국 정보주체의 주민등록번호가 처리되지 않도록 조치할 것나. 피심인은 가.의 조치를 이행하고, 시정명령 통지를 받은 날로부터 60일 이내에 개인정보보호위원회에 이행 결과를 제출할 것2. 피심인에 대하여 다음과 같이 과징금을 부과한다.가. 과 징 금 : 93,700,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과징금;과태료;시정명령,100000000.0,유출·침해;동의·고지 위반;민감정보·고유식별정보;정보주체 권리보장,제10조;제11조;제24조의2;제60조의2;제64조;제64조의2;제6조;제76조;제7조;제84조;제8조;제9조
10023,15,enforcement,2025-07-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,㈜키콕스파트너스 (사업자등록번호 : )대표자,4,과태료,6300000.0,유출·침해;동의·고지 위반;안전조치 미흡;보유기간·파기 위반;민감정보·고유식별정보;정보주체 권리보장,제18조;제24조;제24조의2;제29조;제2조;제30조;제3조;제5조;제63조;제66조;제6조;제75조;제7조;제8조
10025,15,enforcement,2025-07-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,㈜해성디에스 (사업자등록번호 : )대표자,4,과징금;공표명령,343000000.0,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제10조;제11조;제21조;제24조;제29조;제30조;제60조의2;제64조의2;제66조;제6조;제7조;제8조;제9조
10027,13,privacy_impact_review,2025-08-13,「자동차관리법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,국토교통부장관,0,,,,
10029,9,privacy_impact_review,2025-08-13,「지하수법 시행령 및 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,환경부장관,1,개선권고,,,
1003,11,data_provision_request,2020-10-14,부산해양경찰서의 업무 수행을 위한 남항관리사업소 보유 CCTV 영상정보 제공 요청에 관한 건,부산해양경찰서장,0,,,영상정보 처리,
10031,7,privacy_impact_review,2025-08-13,「국가기간 전력망 확충 특별법 시행규칙」 제정안에 대한 개인정보 침해요인 평가에 관한 건,산업통상자원부장관,1,개선권고,,,
10033,13,privacy_impact_review,2025-08-13,「항공기등록규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,국토교통부장관,0,,,,
10035,7,privacy_impact_review,2025-08-13,「전기안전관리법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,산업통상자원부장관,0,,,,
10037,7,privacy_impact_review,2025-08-13,「전기용품 및 생활용품 안전관리법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,산업통상자원부장관,0,,,,
10039,7,privacy_impact_review,2025-08-13,「해양에서 발생한 재난의 긴급구조활동 평가에 관한규칙」 제정안에 대한 개인정보 침해요인 평가에 관한 건,해양경찰청장,0,,,,
10041,5,privacy_impact_review,2025-08-13,「소청절차규정」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,인사혁신처장,0,,,,
10043,5,privacy_impact_review,2025-08-13,「법원이 재판권을 가지는 군인 등의 범죄에 대한 수사절차 등에 관한 규정」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,국방부장관,0,,,,
10045,5,privacy_impact_review,2025-08-13,「군보건의료에 관한 법률 시행령」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,국방부장관,0,,,,
10047,5,privacy_impact_review,2025-08-13,「자본시장과 금융투자업에 관한 법률 시행령」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,금융위원회위원장,0,,,,
10049,2,enforcement,2025-06-11,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,더블에스컴퍼니 (사업자등록번호 : )대표자,4,과태료,4500000.0,유출·침해;동의·고지 위반;영상정보 처리,제18조;제22조;제25조;제2조;제3조;제5조;제63조;제66조;제6조;제75조;제7조
1005,6,complaint_or_interpretation,2014-05-12,「개인정보 보호법」 제6조 및 제18조 관련 해석의 건 (개인정보보호위원회 심의ㆍ의결 통보사항에 대한 안전행정부의 추가질의 관련 법령해석의 건),,1,개선권고,,동의·고지 위반;목적 외 이용;민감정보·고유식별정보;정보주체 권리보장,제10조;제11조;제13조;제14조;제15조;제18조;제1조;제21조;제22조;제23조;제24조의2;제29조;제2조;제32조;제47조;제6조;제81조의13;제82조
10051,5,privacy_impact_review,2025-08-13,「금융소비자 보호에 관한 법률 시행령」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,금융위원회 위원장,0,,,,
10053,2,enforcement,2025-06-11,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,㈜조선호텔앤리조트 조선팰리스강남(사업자등록번호 : )대표자,4,과태료,1200000.0,유출·침해;동의·고지 위반;영상정보 처리;정보주체 권리보장,제18조;제2조;제35조;제3조;제42조;제5조;제63조;제75조;제7조;제8조
10055,13,privacy_impact_review,2025-08-27,「부동산투자회사법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,국토교통부장관,1,개선권고,,,
10057,13,privacy_impact_review,2025-08-27,「대도시권 광역교통 관리에 관한 특별법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,국토교통부장관,0,,,,
10059,13,privacy_impact_review,2025-08-27,「부동산투자회사법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,국토교통부장관,0,,,,
10061,1,privacy_impact_review,2025-08-27,「푸드테크산업 육성에 관한 법률 시행규칙」 제정안에 대한 개인정보 침해요인 평가에 관한 건,농림축산식품부장관,0,,,,
10063,1,privacy_impact_review,2025-08-27,「푸드테크산업 육성에 관한 법률 시행령」 제정안에 대한 개인정보 침해요인 평가에 관한 건,농림축산식품부장관,0,,,,
10065,3,privacy_impact_review,2025-08-27,청각장애인 등 사회적 약자의 차별 완화를 위한 4개 법령의 일부개정안에 관한 부령안에 대한 개인정보 침해요인 평가에 관한 건,법제처장,0,,,,
10067,3,privacy_impact_review,2025-08-27,청각장애인 등 사회적 약자의 차별 완화를 위한 4개 법령의 일부개정안에 관한 대통령령안에 대한 개인정보 침해요인 평가에 관한 건,법제처장,0,,,,
10069,8,enforcement,2024-11-04,,,4,과징금;과태료;시정명령,21613000000.0,동의·고지 위반;정보주체 권리보장,제23조
1007,6,enforcement,2014-06-23,송파구의 자동차 체납세 등 징수를 위한 공영주차장 입ㆍ출차 차량번호 및 입ㆍ출차 시간 제공 관련 심의 요청 건,,0,,,유출·침해;동의·고지 위반;목적 외 이용;제3자 제공;민감정보·고유식별정보,제131조;제18조;제2조;제55조
10071,15,enforcement,2025-02-12,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,㈜섹타나인,4,과징금;과태료,1477000000.0,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,제10조;제11조;제29조;제30조;제34조;제39조;제40조;제60조의2;제63조;제64조의2;제66조;제6조;제75조;제76조;제7조;제8조;제9조
10073,3,privacy_impact_review,2025-09-10,「지방세기본법」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10075,13,privacy_impact_review,2025-09-10,「부동산개발사업 관리 등에 관한 법률 시행령」 제정안에 대한 개인정보 침해요인 평가에 관한 건,국토교통부장관,1,개선권고,,,제14조;제20조
10077,13,privacy_impact_review,2025-09-10,「부동산개발사업 관리 등에 관한 법률 시행규칙」 제정안에 대한 개인정보 침해요인 평가에 관한 건,국토교통부장관,1,개선권고,,,
10079,9,privacy_impact_review,2025-09-10,「실내공기질 관리법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,환경부장관,0,,,,
10081,15,enforcement,2025-06-11,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,전북대학교 (사업자등록번호 : )대표자,4,과징금;과태료;시정명령;공표명령;개선권고,623000000.0,유출·침해;동의·고지 위반;안전조치 미흡;보유기간·파기 위반;민감정보·고유식별정보;정보주체 권리보장,제10조;제11조;제21조;제24조;제24조의2;제29조;제2조;제30조;제3조;제60조의2;제61조;제63조;제64조;제64조의2;제65조;제66조;제6조;제75조;제7조;제8조;제9조
10083,15,enforcement,2025-06-11,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,이화여자대학교 (사업자등록번호 : )대표자,4,과징금;시정명령;공표명령;개선권고,343000000.0,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제10조;제11조;제21조;제24조;제29조;제2조;제30조;제3조;제60조의2;제61조;제64조;제64조의2;제65조;제66조;제6조;제75조;제8조;제9조
10087,2,enforcement,2025-03-26,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,한국산업인력공단 (사업자등록번호 : ),4,과태료,600000.0,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제21조;제24조;제24조의2;제29조;제2조;제30조;제52조의2;제63조;제6조;제75조;제7조
10089,15,enforcement,2025-03-26,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,광주광역시북구청 (사업자등록번호 : ),1,개선권고,,유출·침해;안전조치 미흡;민감정보·고유식별정보,제10조;제110조;제127조;제166조;제21조;제24조;제29조;제2조;제30조;제34조;제61조
1009,6,other,2014-08-25,개인정보 접속기록 보관ㆍ관리 개선의 건,,0,,,유출·침해;정보주체 권리보장,제29조;제2조;제30조
10093,15,enforcement,2025-06-11,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,머크㈜,4,과징금;과태료,80000000.0,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제29조;제2조;제39조의15;제39조의4;제48조의11;제48조의2;제48조의4;제4조;제5조;제63조;제66조;제6조;제75조;제7조;제8조
10095,11,other,2025-09-03,,,0,,,민감정보·고유식별정보,
10097,11,other,2025-09-10,,,0,,,,
10099,15,enforcement,2025-06-11,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,2,시정명령,,유출·침해;안전조치 미흡;정보주체 권리보장,제29조;제2조;제48조의2;제4조;제5조;제66조;제6조
101,7,privacy_impact_review,2022-04-13,「인감증명서 서식 정비를 위한 국방부 소관 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가 결과,국방부장관,0,,,,
10101,15,enforcement,2025-07-09,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,㈜비와이엔블랙야크,4,과징금,1391000000.0,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제10조;제11조;제29조;제30조;제60조의2;제64조의2;제66조;제6조;제75조;제76조;제7조;제8조;제9조
10103,15,enforcement,2025-06-11,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,4,과징금;과태료,32423000.0,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제29조;제2조;제39조의15;제39조의4;제48조의11;제48조의2;제48조의4;제4조;제5조;제63조;제66조;제6조;제75조;제7조;제8조
10105,15,enforcement,2025-07-09,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,4,과징금;과태료,23000000.0,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제10조;제11조;제29조;제2조;제30조;제34조;제39조;제40조;제60조의2;제63조;제64조의2;제66조;제6조;제75조;제76조;제7조;제8조;제9조
10107,15,enforcement,2025-09-10,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,숨수면의원대표자,4,과태료;공표명령,13500000.0,유출·침해;동의·고지 위반;안전조치 미흡;영상정보 처리;민감정보·고유식별정보;정보주체 권리보장,제18조;제29조;제2조;제30조;제34조;제3조;제5조;제63조;제66조;제6조;제75조;제7조
10109,8,enforcement,2025-03-26,,,4,과징금;시정명령;고발,13451000000.0,유출·침해;동의·고지 위반;안전조치 미흡;접근권한·내부통제,
1011,6,enforcement,2017-06-26,광주광역시 공무원노동조합 조합비 소득공제 내역의 감사목적 제공에 관한 건,광주서부경찰서장,0,,,민감정보·고유식별정보;접근권한·내부통제,제20조;제23조;제48조;제56조;제69조;제6조;제78조
10111,3,privacy_impact_review,2025-09-24,「도로교통법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,경찰청장,0,,,,
10113,1,privacy_impact_review,2025-09-24,「농업ㆍ농촌 및 식품산업 기본법 시행령 및 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,농림축산식품부장관,1,개선권고,,,
10115,7,privacy_impact_review,2025-09-24,「경찰수사규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,경찰청장,0,,,,
10117,13,privacy_impact_review,2025-09-24,「건설산업기본법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,국토교통부장관,1,개선권고,,,제87조의2
10119,0,other,2025-09-24,,,0,,,동의·고지 위반,제64조
10121,7,privacy_impact_review,2025-09-24,「제대군인지원에 관한 법률」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,국가보훈부장관,0,,,,
10123,11,data_provision_request,2025-09-24,소방서의 화재안전취약자 지원 사업을 위한 시ㆍ군ㆍ구 보유 개인정보 제공 요청에 관한 건,소방청장,0,,,목적 외 이용,
10125,7,privacy_impact_review,2025-10-22,「전자정부법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10127,3,privacy_impact_review,2025-10-22,「행정절차법」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10129,7,privacy_impact_review,2025-10-22,「소방공무원 임용령 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,소방청장,0,,,,
1013,11,other,2017-04-10,「법원 개인정보 보호에 관한 규칙」에 대한 개선권고에 관한 건,,1,개선권고,,민감정보·고유식별정보;정보주체 권리보장,제24조의2;제5조
10131,15,enforcement,2025-08-27,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,에스케이텔레콤 주식회사 (사업자등록번호 : )대표자,4,과징금;과태료;시정명령;공표명령;개선권고,134791000000.0,유출·침해;동의·고지 위반;안전조치 미흡;접근권한·내부통제;처리위탁;정보주체 권리보장,제10조;제11조;제29조;제2조;제30조;제31조;제34조;제39조;제3조;제40조;제48조의3;제5조;제60조의2;제61조;제63조;제64조;제64조의2;제66조;제6조;제75조;제76조;제7조;제8조;제9조
10133,15,enforcement,2025-09-10,공공기관의 개인정보 보호 법규 위반행위에 대한 시정조치에 관한 건,구미교육지원청 (사업자등록번호 : )대표자,1,개선권고,,민감정보·고유식별정보,제14조의2;제16조;제17조;제17조의5;제19조;제24조;제24조의2;제2조;제61조;제64조;제64조의2;제65조;제66조;제75조
10135,15,enforcement,2025-09-10,공공기관의 개인정보 보호 법규 위반행위에 대한 시정조치에 관한 건,마포구 (사업자등록번호 : )대표자,1,개선권고,,유출·침해;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제13조;제21조;제24조;제28조;제29조;제2조;제30조;제34조;제39조;제3조;제61조;제64조;제64조의2;제65조;제66조;제6조;제75조
10137,15,enforcement,2025-09-10,공공기관의 개인정보 보호 법규 위반행위에 대한 시정조치에 관한 건,신용보증재단중앙회 (사업자등록번호 : )대표자,1,개선권고,,유출·침해;동의·고지 위반;보유기간·파기 위반,제15조;제17조;제2조;제35조;제61조;제64조;제64조의2;제65조;제66조;제75조;제9조
10139,8,enforcement,2025-09-10,,,4,과징금;과태료,81017000.0,동의·고지 위반,
10141,15,public_system_inspection,2025-07-23,슈퍼앱 등 주요 앱 사전실태점검 결과에 관한 건,㈜카카오 (사업자등록번호 : )제주특별자치도 제주시 첨단로 242대표자,1,개선권고,,유출·침해;동의·고지 위반;제3자 제공;안전조치 미흡;민감정보·고유식별정보;접근권한·내부통제;처리위탁;정보주체 권리보장,제15조;제17조;제22조;제29조;제30조;제32조;제35조;제36조;제37조;제38조;제61조;제6조;제8조
10143,15,public_system_inspection,2025-07-23,슈퍼앱 등 주요 앱 사전실태점검 결과에 관한 건,"쿠팡㈜ (사업자등록번호 : )서울특별시 송파구 송파대로 570, 18층(신천동)대표자",1,개선권고,,유출·침해;동의·고지 위반;제3자 제공;안전조치 미흡;처리위탁;정보주체 권리보장,제15조;제22조;제30조;제32조;제35조;제36조;제37조;제38조;제61조
10145,15,public_system_inspection,2025-07-23,슈퍼앱 등 주요 앱 사전실태점검 결과에 관한 건,㈜우아한형제들 (사업자등록번호 : )서울틀별시 송파구 위성대로 2대표자,1,개선권고,,유출·침해;동의·고지 위반;제3자 제공;안전조치 미흡;처리위탁;정보주체 권리보장,제15조;제32조;제35조;제36조;제37조;제38조;제61조
10147,15,public_system_inspection,2025-07-23,슈퍼앱 등 주요 앱 사전실태점검 결과에 관한 건,㈜당근마켓 (사업자등록번호 : )서울특별시 서초구 강남대로 465 10~12층대표자,1,개선권고,,유출·침해;동의·고지 위반;목적 외 이용;제3자 제공;안전조치 미흡;민감정보·고유식별정보;접근권한·내부통제;처리위탁;정보주체 권리보장,제15조;제22조;제26조;제28조;제29조;제30조;제32조;제35조;제36조;제37조;제38조;제61조;제6조;제8조
10149,15,public_system_inspection,2025-07-23,슈퍼앱 등 주요 앱 사전실태점검 결과에 관한 건,네이버㈜ (사업자등록번호 : )경기도 성남시 분당구 정자일로 95대표자,1,개선권고,,유출·침해;동의·고지 위반;제3자 제공;안전조치 미흡;처리위탁;정보주체 권리보장,제15조;제22조;제30조;제32조;제35조;제36조;제37조;제38조;제61조
1015,6,other,2017-06-12,체불사업주 명단 공개 및 체불자료 제공을 위한 개인정보 처리에 관한 건,고용노동부장관,0,,,유출·침해;목적 외 이용,제18조;제25조;제2조;제43조의2;제43조의3
10151,3,privacy_impact_review,2025-11-20,「국가데이터처 소관 비영리법인의 설립 및 감독에 관한 규칙안」 제정안에 대한 개인정보 침해요인 평가에 관한 건,국가데이터처장,0,,,,
10153,3,privacy_impact_review,2025-11-20,「지방세법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10155,3,privacy_impact_review,2025-11-20,「지방세법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10157,3,privacy_impact_review,2025-11-20,「지방세기본법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10159,3,privacy_impact_review,2025-11-20,「지방세기본법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10161,16,privacy_impact_review,2025-11-20,「문화기본법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,문화체육관광부장관,0,,,,
10163,3,privacy_impact_review,2025-11-20,「지방세특례제한법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10165,2,enforcement,2025-10-22,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,경기대학교 (사업자등록번호 : )대표자,4,과태료,2400000.0,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보,제29조;제2조;제30조;제3조;제61조;제63조;제64조;제64조의2;제65조;제66조;제6조;제75조;제7조
10167,15,enforcement,2025-09-24,공공기관의 개인정보 보호 법규 위반행위에 대한 시정조치에 관한 건,김해중부경찰서 (사업자등록번호 : )대표자,1,개선권고,,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제194조의6;제21조;제24조;제28조;제29조;제2조;제30조;제34조;제3조;제61조;제64조;제64조의2;제65조;제66조;제67조;제6조;제75조
10169,7,privacy_impact_review,2025-11-20,「119구조ㆍ구급에 관한 법률 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,소방청장,0,,,,
1017,6,other,2012-06-11,주식회사 구글(Google Inc.)의 개인정보 취급방침 개선 의견,,0,,,동의·고지 위반;목적 외 이용;보유기간·파기 위반;정보주체 권리보장,제15조;제16조;제18조;제21조;제22조;제23조;제26조의2;제29조;제30조;제36조;제37조;제3조
10171,3,privacy_impact_review,2025-11-20,「119구조ㆍ구급에 관한 법률 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,소방청장,0,,,,
10173,2,enforcement,2025-11-20,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,광주도시관리공사 (사업자등록번호 : )대표자,4,과태료;시정명령,600000.0,유출·침해;동의·고지 위반;목적 외 이용;안전조치 미흡;접근권한·내부통제;처리위탁,제25조;제26조;제28조;제29조;제2조;제3조;제49조;제61조;제63조;제64조;제64조의2;제65조;제66조;제6조;제75조;제7조
10175,15,enforcement,2025-11-20,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,한국외국어대학교 (사업자등록번호 : ) 대표자,2,시정명령,,유출·침해;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제21조;제24조;제28조;제29조;제2조;제30조;제3조;제61조;제64조;제64조의2;제65조;제66조;제6조;제75조
10177,15,enforcement,2025-11-20,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,신남초등학교 (사업자등록번호 : )대표자,2,시정명령,,유출·침해;안전조치 미흡;민감정보·고유식별정보,제12조;제28조;제29조;제2조;제30조;제3조;제61조;제64조;제64조의2;제65조;제66조;제75조
10179,15,enforcement,2025-11-20,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,한국토지주택공사 (사업자등록번호 : )대표자,2,시정명령,,유출·침해;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제21조;제24조;제28조;제29조;제2조;제30조;제3조;제61조;제64조;제64조의2;제65조;제66조;제6조;제75조
10181,11,public_system_inspection,2025-09-10,택배 운송장 사전 실태점검 결과에 관한 건,국토교통부세종특별자치시 도움6로 11대표자,1,개선권고,,유출·침해;동의·고지 위반,제5조;제7조의9
10183,11,data_provision_request,2025-10-22,질병관리청의 예방접종 피해 중복보상 방지를 위한 근로복지공단ㆍ공무원연금공단ㆍ사학연금공단ㆍ국방부 보유 개인정보 제공 요청에 관한 건,질병관리청장,0,,,목적 외 이용,
10185,11,data_provision_request,2025-11-20,기후에너지환경부의 에너지바우처 발급 대상자 발굴 및 신청 안내를 위한 보건복지부 보유 개인정보 제공 요청에 관한 건,기후에너지환경부,0,,,목적 외 이용,제13조의2
10187,11,other,2025-11-20,,,0,,,아동 개인정보,
10189,15,enforcement,2025-11-26,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,"필리핀항공 (사업자등록번호 : , )대표자",4,과태료,3600000.0,유출·침해;동의·고지 위반;안전조치 미흡;처리위탁;정보주체 권리보장,제29조;제2조;제39조의4;제48조의2;제48조의4;제4조;제63조;제6조;제75조;제7조;제8조
1019,6,other,2017-07-10,출입국관리법 위반 사업자 정보 제공에 관한 건,고용노동부장관,0,,,유출·침해;목적 외 이용,제102조;제18조;제20조;제21조;제2조
10191,15,enforcement,2025-11-26,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,㈜씨아이에스보험자문중개법인 (사업자등록번호 : )대표자,4,과태료;시정명령,9600000.0,유출·침해;동의·고지 위반;안전조치 미흡;보유기간·파기 위반;민감정보·고유식별정보;처리위탁;정보주체 권리보장,제10조;제11조;제29조;제2조;제30조;제34조;제39조;제60조의2;제63조;제64조;제64조의2;제6조;제75조;제7조;제8조;제9조
10193,11,other,2025-10-22,,,0,,,영상정보 처리,
10195,11,other,2025-11-26,,,0,,,,
10197,1,privacy_impact_review,2025-12-10,「가축전염병 예방법」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,농림축산식품부장관,0,,,,
10199,3,privacy_impact_review,2025-12-10,「조세특례제한법 시행령」 일부개정안에 대한개인정보 침해요인 평가에 관한 건,기획재정부장관,0,,,,
10201,3,privacy_impact_review,2025-12-10,「주민등록법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10203,5,privacy_impact_review,2025-12-10,「신용정보의 이용 및 보호에 관한 법률 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,금융위원회위원장,0,,,,
10205,7,privacy_impact_review,2025-12-10,「주민등록법 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
